username,comment,perfume,sentiment_score
@tariklewis2432,"Neroli portafino, soleil neige, lost cherry, tobacco Vanille, oud wood, nor extreme, velvet orchid...all my faves",Oud Wood,-0.3182
@StoicOutlaw17,Oud Wood is my favorite.,Oud Wood,0.4588
@kevkev3340,Tobacco vanille or Oud Wood? a hard one haha,Oud Wood,0.3818
@MrBrownstone1,"Love a Tom Ford video, cheers Demi. FWIW my top TFs  - 
1. Ombre Leather
2. Plum Japonais
3. Tuscan Leather
4. Noir Extreme
5. Noir de Noir
6. Tobacco Vanille
7. Lost Cherry
8. Oud Wood",Oud Wood,0.7783
@GregorySonofGod777,"Black orchid suits me and has the best performance. 9.5/10 easily. Oud wood is nice, however the performance is not great and for the price, it's a bummer.",Oud Wood,0.5432
@preiss0,"1. Oud Wood.
2. Oud Minerale.
3. Neroli Portofino Forte.",Oud Wood,0.0
@Gabos_Parfums,Unfortunately oud wood does not perform its only good for like 3 hours I regret buying it only wish I had the old school bottle that juice last a long time,Oud Wood,0.4404
@luckyraspberry3712,"1. Oud Fleur (this makes me m e l t)
2. Venetian Bergamot
3. Patchouli Absolu (you either love or loathe this)
4. Oud Wood 
5. Sole Di Positano",Oud Wood,0.25
@SurfersSilver,"You just stating a fact

Out of 10..i already use 3 of them...Black orchid, oud wood, and Tobacco vanille...

Btw, Fucking fabulous seriously smell so good",Oud Wood,0.7103
@phillipsamuels6719,Love oud wood,Oud Wood,0.6369
@MrCanadiansingh,"Tomford makes unique yet mad expensive fragrances
I have tuscan leather, noir, oud wood, tobacco vanille, black orchid and fucking fabulous they are all my favorite",Oud Wood,0.5413
@freepaultchoutamotaebalasi9804,"1-Noir de Noir
2-tobacco vanille
3-tobaccou oud
4- oud wood
5-Arabian wood",Oud Wood,0.0
@lazarostan,"Hi Demi.  
When i smell for the first time a Tom ford fragrance i can say i fell in love. I understood it was something different. So i start with tom ford - tom ford, noir extreme, oud wood, grey vetiver, tuscan leather, fcking fabulous, beau de jour from the private collection which discontinued, but you can find it in better price. My last buying was Soleil Neige from private collection. Check it out. In Europe the private collection is made in USA and the other is made in Switzerland. 
                             Greedings from Greece",Oud Wood,0.8294
@carsandwhisky2002,I spent the time smelling most of the Tom Ford line. Definitely Oud Wood for me.,Oud Wood,0.4019
@izzyhuppert6562,"I love both Oud Wood and Tuscan Leather. If you can only pick one, which one would you choose?",Oud Wood,0.6369
@GregorySonofGod777,"I have oud wood body spray, really nice for the price!",Oud Wood,0.5244
@TonySoprano08,"Tobacco Oud
Black Orchid 
Tobacco Vanille 
Fougere 
Oud Wood
Noir De Noir
Soleil Blanc 
Bitter Peach 

I love those",Oud Wood,0.34
@royaltystiming9902,I love oud wood.. but it does not last long at all I have to spray a lot on myself lol,Oud Wood,0.743
@kristenpotter7100,"I’m obsessed with the TF Private Blends. I love how unisex they are. I wear Tobacco Vanille, Oud Wood, Soleil Blanc, Noir de Noir, Mandarino di Amalfi, and Neroli Portofino (wore this on my honeymoon in St Lucia!). I love Lavender Extreme but I can’t bring myself to buy it. Please do a list for the ladies!!",Oud Wood,0.826
@steliosc.4686,Actually my most complimented by women are Grey Vetiver edp and Oud Wood. I personally can't stand smelling Black Orchid yet alone wearing it. Very nauseating to me. But i do agree on Tom Ford Extreme. Beautiful scent and underappreciated. Nice video.,Oud Wood,0.9318
@AnakinSkywalker-mm3gi,My favorite Tom Ford from the Signature line is Grey Vetiver and Tobacco Vanille from the Private Blend line. GV is great for work and TV for cold fall and winter nights.,Tobacco Vanille,0.8074
@uropy,"Among all TF fragrance for men, which one do you recommend for a date on a summer night? I wear Tobacco Vanille for winter but feel it’s prob not best for wear in summer.",Tobacco Vanille,-0.5862
@tariklewis2432,"Neroli portafino, soleil neige, lost cherry, tobacco Vanille, oud wood, nor extreme, velvet orchid...all my faves",Tobacco Vanille,-0.3182
@jessemays7283,Tobacco vanille is amazing and i like lost cherry. I tested the neroli portofino and I wanted to be sick.,Tobacco Vanille,0.1779
@kevkev3340,Tobacco vanille or Oud Wood? a hard one haha,Tobacco Vanille,0.3818
@MrBrownstone1,"Love a Tom Ford video, cheers Demi. FWIW my top TFs  - 
1. Ombre Leather
2. Plum Japonais
3. Tuscan Leather
4. Noir Extreme
5. Noir de Noir
6. Tobacco Vanille
7. Lost Cherry
8. Oud Wood",Tobacco Vanille,0.7783
@budapest5579,"Tom Ford if I had to chose only three for life 
1 TF Fabulous 
2 TF Tobacco Vanille 
3 Black orchid",Tobacco Vanille,0.5267
@SurfersSilver,"You just stating a fact

Out of 10..i already use 3 of them...Black orchid, oud wood, and Tobacco vanille...

Btw, Fucking fabulous seriously smell so good",Tobacco Vanille,0.7103
@MrCanadiansingh,"Tomford makes unique yet mad expensive fragrances
I have tuscan leather, noir, oud wood, tobacco vanille, black orchid and fucking fabulous they are all my favorite",Tobacco Vanille,0.5413
@freepaultchoutamotaebalasi9804,"1-Noir de Noir
2-tobacco vanille
3-tobaccou oud
4- oud wood
5-Arabian wood",Tobacco Vanille,0.0
@arsenallakers4158,"Been looking for new perfumes i dont mind the price
It would be great if someone would give me some suggestions 
I use DG light blue,Armani gio,eros versace and Fahrenheit Dior but i really want to change the whole set
I want to buy noir extreme and tobacco vanille but some more suggestions would be welcomed thank",Tobacco Vanille,0.8929
@TonySoprano08,"Tobacco Oud
Black Orchid 
Tobacco Vanille 
Fougere 
Oud Wood
Noir De Noir
Soleil Blanc 
Bitter Peach 

I love those",Tobacco Vanille,0.34
@kristenpotter7100,"I’m obsessed with the TF Private Blends. I love how unisex they are. I wear Tobacco Vanille, Oud Wood, Soleil Blanc, Noir de Noir, Mandarino di Amalfi, and Neroli Portofino (wore this on my honeymoon in St Lucia!). I love Lavender Extreme but I can’t bring myself to buy it. Please do a list for the ladies!!",Tobacco Vanille,0.826
@jaycagle8416,Can’t believe you almost for Tobacco Vanille! That was first love of TF and it is one of my favorite houses.  Longevity is an issue with some but beautiful DNA. Beau de Jour was a great rerelease and I’m Very happy to see Lavender Extreme make the list. It’s also one of my favs and doesn’t get much love. Solid list but I would have to add Plum Japonais and maybe Rose Prick to my list. Enjoyed!!,Tobacco Vanille,0.9872
@joshuadoty4251,My top Tom Fords 1. Plum Japonais 2. Noir de noir 3. Tobacco oud 4. Noir pour femme (I prefer this over extreme️ similar but projects better) 5. Black orchid EDP or EDT ️ 6. Tobacco Vanille 7. Lost cherry .. only because it smells good on its own and layers beeeeeautiful with plum Japonais and tobacco vanille,Tobacco Vanille,0.3182
@TheFragnatic,"my top 5

Fucking Fabulous
Lost Cherry
Tobacco Vanille
Plum Japanois
Ombre Leather",Tobacco Vanille,0.4432
@invictafilms2690,"I got a 50ml decant of Tuscan Leather, really looking forward to trying it, but I really want some Neroli Portofino and Tobacco Vanille to add to my collection, but don’t want to go broke.",Tobacco Vanille,-0.2313
@ashrafkob,"My top three are : oud wood, noire extreme and Tuscan leather. Greetings from Palestine",Tuscan Leather,0.5574
@Plattenbruther,What do you guys think of La Yuqawam pour Homme? Does anybody happen to have tuscan leather and can give a comparison? Regards,Tuscan Leather,0.0
@minibus1351,Tuscan Leather is my number 1.,Tuscan Leather,0.0772
@mambamentality2663,"Tuscan leather best, end of story",Tuscan Leather,0.6369
@MrBrownstone1,"Love a Tom Ford video, cheers Demi. FWIW my top TFs  - 
1. Ombre Leather
2. Plum Japonais
3. Tuscan Leather
4. Noir Extreme
5. Noir de Noir
6. Tobacco Vanille
7. Lost Cherry
8. Oud Wood",Tuscan Leather,0.7783
@tatianacatherine5070,Neroli Portofino is on my wish list. I wish TF hadn't discontinued the Ombre Leather 16 scent (much better than the Ombre Leather or Tuscan Leather).,Tuscan Leather,0.8074
@ediabdijeski9417,The next perfume I will buy is Tuscan Leather,Tuscan Leather,0.0
@lennonseow90,"No Ombre Leather?
Ombre Leather is more wearable and versatile than Tuscan Leather yet at the same time, the price is way cheaper than the latter.",Tuscan Leather,-0.296
@gianniferrari1122,"My Top TF - 

1. Tuscan Leather 
2. Champaca Absolute (Nobody wears this... Don't know why!!!?) 
3. Soleil Blanc EDP 
4. Grey Vetiver",Tuscan Leather,0.4359
@MrCanadiansingh,"Tomford makes unique yet mad expensive fragrances
I have tuscan leather, noir, oud wood, tobacco vanille, black orchid and fucking fabulous they are all my favorite",Tuscan Leather,0.5413
@lazarostan,"Hi Demi.  
When i smell for the first time a Tom ford fragrance i can say i fell in love. I understood it was something different. So i start with tom ford - tom ford, noir extreme, oud wood, grey vetiver, tuscan leather, fcking fabulous, beau de jour from the private collection which discontinued, but you can find it in better price. My last buying was Soleil Neige from private collection. Check it out. In Europe the private collection is made in USA and the other is made in Switzerland. 
                             Greedings from Greece",Tuscan Leather,0.8294
@sur5notes,"My Best Five  and probably my all time Tom Ford favourite: 

Noir Extreme, F**** Fabulous, Tuscan Leather, Grey Vetiver and Beau de Jour.",Tuscan Leather,0.8316
@izzyhuppert6562,"I love both Oud Wood and Tuscan Leather. If you can only pick one, which one would you choose?",Tuscan Leather,0.6369
@DragonCarlin1982,Tuscan Leather.... class and presence,Tuscan Leather,0.0
@invictafilms2690,"I got a 50ml decant of Tuscan Leather, really looking forward to trying it, but I really want some Neroli Portofino and Tobacco Vanille to add to my collection, but don’t want to go broke.",Tuscan Leather,-0.2313
@MrHarlekin7,Noir de Noir best Parfum on the earth,Noir de Noir,0.6369
@MrBrownstone1,"Love a Tom Ford video, cheers Demi. FWIW my top TFs  - 
1. Ombre Leather
2. Plum Japonais
3. Tuscan Leather
4. Noir Extreme
5. Noir de Noir
6. Tobacco Vanille
7. Lost Cherry
8. Oud Wood",Noir de Noir,0.7783
@LeBeautiful,Noir De Noir...so glad to see that one. Would have some of the newer Tom Ford Soleli series here too. I wish for safety for you and every subscriber on here! ,Noir de Noir,0.8313
@freepaultchoutamotaebalasi9804,"1-Noir de Noir
2-tobacco vanille
3-tobaccou oud
4- oud wood
5-Arabian wood",Noir de Noir,0.0
@manosfragos5988,I thought you said noir de noir was better on females,Noir de Noir,0.4404
@noseknowsnonotes6833,"Black Orchid & Noir de Noir are the top 2 for me, so glad that you had those",Noir de Noir,0.6875
@TonySoprano08,"Tobacco Oud
Black Orchid 
Tobacco Vanille 
Fougere 
Oud Wood
Noir De Noir
Soleil Blanc 
Bitter Peach 

I love those",Noir de Noir,0.34
@kristenpotter7100,"I’m obsessed with the TF Private Blends. I love how unisex they are. I wear Tobacco Vanille, Oud Wood, Soleil Blanc, Noir de Noir, Mandarino di Amalfi, and Neroli Portofino (wore this on my honeymoon in St Lucia!). I love Lavender Extreme but I can’t bring myself to buy it. Please do a list for the ladies!!",Noir de Noir,0.826
@joshuadoty4251,My top Tom Fords 1. Plum Japonais 2. Noir de noir 3. Tobacco oud 4. Noir pour femme (I prefer this over extreme️ similar but projects better) 5. Black orchid EDP or EDT ️ 6. Tobacco Vanille 7. Lost cherry .. only because it smells good on its own and layers beeeeeautiful with plum Japonais and tobacco vanille,Noir de Noir,0.3182
@TheFragranceWardrobe,Well I guess I’m going to wear Noir Extreme a lot more now,Noir Extreme,0.2732
@ayazmalik5260,Noir Extreme. What a fragrance...wow. Just. It’s Demi in a bottle. Demi is a ‘kulfi-Girl’ ,Noir Extreme,0.0
@30minutesLess,Noir extreme is my shit! I absolutely know when it is hypnotizing someone,Noir Extreme,-0.5983
@mikecapalungan,"I don’t like many sweet scents, but D&G The One, Versace Eros, Replica’s Jazz Club, and TF Noir extreme have been my favorite sweet scents",Noir Extreme,0.8945
@ardenpowers7730,"Fantastic picks Demi !
Black Orchid really makes a statement for/on me.
Noir Extreme is so very, very nice for a night out or for intimate moments . . . 
Thanks as always for sharing . . .",Noir Extreme,0.9221
@lizasoberano6612,So what is for you black orchid or the noir extreme?,Noir Extreme,0.0
@Ady-gt8xh,@demirawling which is better tom ford noir or noir extreme,Noir Extreme,0.4404
@milanheusschen,"Thinking about to get Tom Ford Noir Extreme for a long time, now I finally decided to purchase this beauty.",Noir Extreme,0.6705
@MrBrownstone1,"Love a Tom Ford video, cheers Demi. FWIW my top TFs  - 
1. Ombre Leather
2. Plum Japonais
3. Tuscan Leather
4. Noir Extreme
5. Noir de Noir
6. Tobacco Vanille
7. Lost Cherry
8. Oud Wood",Noir Extreme,0.7783
@droyal1994,You said the noir extreme makes you want to eat me and I bought it instantly lmao good sales skills,Noir Extreme,0.7964
@mr.smellgood2794,That Tom Ford Noir Extreme is my favorite smells really good. It works so well for me and its  super beast mode  off my skin..,Noir Extreme,0.9159
@hepdragon32,"So an ex-girlfriend of mine, whenever she left for work, would ask me to spray Tom Ford Noir Extreme on her tummy so she could have my ""scent"" hanging around her all day.",Noir Extreme,0.0
@papatzis4032,"3:56 
That’s it I’m buying Noir Extreme",Noir Extreme,0.0
@elie6769,She loves tom ford noir extreme Shi mni7 one of her favs. One of her favs. Hates ombre leather btefham,Noir Extreme,0.2023
@Shaari,"Noir Extreme is easily my favourite. One of my go to date scents along with Herod, By the Fireplace, The One, La Nuit de L'Homme. For daily and formal situations, Grey Vetiver is perfect.",Noir Extreme,0.743
@ryanstecken7457,"TF noir extreme is happily underrated and not everybody knows him, my signature smell",Noir Extreme,0.5574
@johnseidl8791,"Thank you for the video. Have been looking to try some new colognes, and I'm somewhat new to Tom Ford. I will be trying the Noir Extreme, mainly from your review of it. How could I not try it lol. I have a question about one of them. I received Tom Ford for Men in a sampler I got a while back, and I really liked it. So is the Tom Ford for men Extreme just a stronger version of this or a different fragrance?",Noir Extreme,0.706
@lazarostan,"Hi Demi.  
When i smell for the first time a Tom ford fragrance i can say i fell in love. I understood it was something different. So i start with tom ford - tom ford, noir extreme, oud wood, grey vetiver, tuscan leather, fcking fabulous, beau de jour from the private collection which discontinued, but you can find it in better price. My last buying was Soleil Neige from private collection. Check it out. In Europe the private collection is made in USA and the other is made in Switzerland. 
                             Greedings from Greece",Noir Extreme,0.8294
@arsenallakers4158,"Been looking for new perfumes i dont mind the price
It would be great if someone would give me some suggestions 
I use DG light blue,Armani gio,eros versace and Fahrenheit Dior but i really want to change the whole set
I want to buy noir extreme and tobacco vanille but some more suggestions would be welcomed thank",Noir Extreme,0.8929
@sur5notes,"My Best Five  and probably my all time Tom Ford favourite: 

Noir Extreme, F**** Fabulous, Tuscan Leather, Grey Vetiver and Beau de Jour.",Noir Extreme,0.8316
@AbdouEN92,I’m wearing TF noir extreme as a scent of the evening just lovely fragrance ,Noir Extreme,0.5859
@looneydesi,Love black orchid and noir extreme. ,Noir Extreme,0.6369
@PurAquas,Noir extreme is the best hands down,Noir Extreme,0.6369
@carlitobrigante7625,Tom Ford Noir Extreme & Beau‘de Jour are My favorites ,Noir Extreme,0.4215
@lugscogs5976,I beg to differ because Ombre leather is one of their best.,Ombre Leather,0.6369
@molonlavecy,"Demi....what about Ombre Leather????  How come not in the list?
:)",Ombre Leather,0.6072
@MrBrownstone1,"Love a Tom Ford video, cheers Demi. FWIW my top TFs  - 
1. Ombre Leather
2. Plum Japonais
3. Tuscan Leather
4. Noir Extreme
5. Noir de Noir
6. Tobacco Vanille
7. Lost Cherry
8. Oud Wood",Ombre Leather,0.7783
@tatianacatherine5070,Neroli Portofino is on my wish list. I wish TF hadn't discontinued the Ombre Leather 16 scent (much better than the Ombre Leather or Tuscan Leather).,Ombre Leather,0.8074
@Batman2006100,"Thank you Demi. I have: black, grey y ombre leather. I love them. You are so beauty.",Ombre Leather,0.9147
@lennonseow90,"No Ombre Leather?
Ombre Leather is more wearable and versatile than Tuscan Leather yet at the same time, the price is way cheaper than the latter.",Ombre Leather,-0.296
@elie6769,She loves tom ford noir extreme Shi mni7 one of her favs. One of her favs. Hates ombre leather btefham,Ombre Leather,0.2023
@scarroll625,Ombre Leather is amazing,Ombre Leather,0.5859
@Badmintonbyshreyans,What about ombre leather,Ombre Leather,0.0
@peterstylianou3827,"Ah My dear
How could you hate Ombre Leather? It’s got me tons of Compliments , plus it’s quite similar to Tuscan?",Ombre Leather,0.2406
@wetstinkysocks,Finally! Someone who doesn’t enjoy Ombre Leather . It might just be the only TF I don’t like. I’d rather point people towards a John Varvatos or CH prive for that Ombre Leather vibe. Good list!,Ombre Leather,0.8475
@mamohookah5944,Ombre leather and fucking fabulous are the best,Ombre Leather,0.8357
@nickvarga463,Ombre Leather 2018 EDP is amazing. Dries down to smooth n soft,Ombre Leather,0.5859
@thebsr9673,You broke my with Ombre Leather!,Ombre Leather,-0.4753
@brentonhenry3489,How can you hate ombre leather?,Ombre Leather,-0.5719
@TheFragnatic,"my top 5

Fucking Fabulous
Lost Cherry
Tobacco Vanille
Plum Japanois
Ombre Leather",Ombre Leather,0.4432
@sibyl999,What should women wear from TF?  I don’t have any as yet..  Also are you aware of the Neroli Portofino Intense or whatever it’s called?  I heard longevity issues were assessed..,Neroli Portofino,0.168
@timschulz3714,"I've been looking for a new fragrance that smells like Prada l'homme (my favorite), now I'll have to give Tom Ford Neroli Portofino a try!",Neroli Portofino,0.4199
@jessemays7283,Tobacco vanille is amazing and i like lost cherry. I tested the neroli portofino and I wanted to be sick.,Neroli Portofino,0.1779
@markchen5710,neroli portofino smells like bathroom cleaner to me. I hate it .,Neroli Portofino,-0.128
@sebastianstalfors1787,"I swiched from the Neroli Portofino to the Mandarino Di Amalfi. I don't agree that the Mandarino Di Amalfi is for women, it's probably unisex, but most for men. But I do agree that Portofino is great.",Neroli Portofino,0.5315
@tatianacatherine5070,Neroli Portofino is on my wish list. I wish TF hadn't discontinued the Ombre Leather 16 scent (much better than the Ombre Leather or Tuscan Leather).,Neroli Portofino,0.8074
@preiss0,"1. Oud Wood.
2. Oud Minerale.
3. Neroli Portofino Forte.",Neroli Portofino,0.0
@lazaro2710,"Demi what are your thoughts on Beau De Jour and Neroli Portofino longevity and sillage. Friends who also wear Jacket and Buttom Down Shirt complain on their longevity in our Warm Weather.  I have purchased long time a go Black Orchid and it was a beast mode fragance, so really want to find out if these two come with that long time performance which is important for me. Regards from Costa Rica",Neroli Portofino,0.6335
@danlutter8061,"Neroli Portofino lasts about as long as 4711.  The scent is great, but the price is outrageous for what it is IMO.",Neroli Portofino,-0.3506
@lucasniehaus2189,"I literally have the same imagination as you when you talked bout Neroli Portofino, white t shirt, yacht, boat chu chu chu  these imaginative description makes the fragrance comes to live on a person! And I really like the idea! I hope you can talk about Top 10 Christian Dior fragrance on men ",Neroli Portofino,0.7951
@kristenpotter7100,"I’m obsessed with the TF Private Blends. I love how unisex they are. I wear Tobacco Vanille, Oud Wood, Soleil Blanc, Noir de Noir, Mandarino di Amalfi, and Neroli Portofino (wore this on my honeymoon in St Lucia!). I love Lavender Extreme but I can’t bring myself to buy it. Please do a list for the ladies!!",Neroli Portofino,0.826
@FouriousBear,"Hello Demi. Please can you help me.. I looking for a Tom Ford smell citrus,fresh sexy smell for summer.. Something like Armani  Aqua Di Gio but from Tom Ford.. Is Neroli Portofino good choice? Or maybe you can reccomend other one.  BtW you look like me friend, and sorry for my English.. Greetings from Poland. ;)",Neroli Portofino,0.97
@invictafilms2690,"I got a 50ml decant of Tuscan Leather, really looking forward to trying it, but I really want some Neroli Portofino and Tobacco Vanille to add to my collection, but don’t want to go broke.",Neroli Portofino,-0.2313
@alexanderslowinski2054,Costa Azzurra!,Costa Azzurra,0.0
@julianheusschen,"Last week I bought Invictus for a friend of mine his birthday, I received a sample of Tom Ford's Beau de Jour. Immediately loved this scent when I smelled the sample. Yesterday I decided to order a 100ml of this fragrance.  Can't wait to wear it!",Beau de Jour,0.8122
@OscarLopez-cu7xg,beau de jour tom ford is a similar to zino davidoff?,Beau de Jour,0.0
@lazaro2710,"Demi what are your thoughts on Beau De Jour and Neroli Portofino longevity and sillage. Friends who also wear Jacket and Buttom Down Shirt complain on their longevity in our Warm Weather.  I have purchased long time a go Black Orchid and it was a beast mode fragance, so really want to find out if these two come with that long time performance which is important for me. Regards from Costa Rica",Beau de Jour,0.6335
@MrTheomighty1,"I own black orchid and today I’ve received my bottle of Tom Ford Beau De Jour I purchased this as I’m going out to a meal with all my work colleagues and I wanted to stand out, I’m just undecided on what to wear, Demi or anybody I’ve got burgundy chinos and pink chinos with a royal blue sports jacket not sure what colour shirt to wear ",Beau de Jour,-0.4333
@JT-rx1eo,"Beau de Jour is my favorite Tom Ford. And it's my #1 favorite ""barbershop"" Fougere out of my barbershop Fougere collection. It's the beauty of those aromatic herbs - rosemary,  basil, mint - blended into the heavy lavender and lavendin that sets it apart from my Penhaligon Sartorial,  TF Fougere D'Argent,  MDCI Invasion Barbare,  YSL Rive Gauche Pour Homme,  etc.",Beau de Jour,0.8689
@lazarostan,"Hi Demi.  
When i smell for the first time a Tom ford fragrance i can say i fell in love. I understood it was something different. So i start with tom ford - tom ford, noir extreme, oud wood, grey vetiver, tuscan leather, fcking fabulous, beau de jour from the private collection which discontinued, but you can find it in better price. My last buying was Soleil Neige from private collection. Check it out. In Europe the private collection is made in USA and the other is made in Switzerland. 
                             Greedings from Greece",Beau de Jour,0.8294
@amandygunns,"I absolutely love the scent of Beau de Jour, I just picked up a small bottle for myself cause I love lavender. But. But. The sillage and lasting power are SO strong & long as to be....kind of intolerable to me. Lol I’m sure that will be good news to people who care about “performance.”",Beau de Jour,0.9804
@sur5notes,"My Best Five  and probably my all time Tom Ford favourite: 

Noir Extreme, F**** Fabulous, Tuscan Leather, Grey Vetiver and Beau de Jour.",Beau de Jour,0.8316
@jaycagle8416,Can’t believe you almost for Tobacco Vanille! That was first love of TF and it is one of my favorite houses.  Longevity is an issue with some but beautiful DNA. Beau de Jour was a great rerelease and I’m Very happy to see Lavender Extreme make the list. It’s also one of my favs and doesn’t get much love. Solid list but I would have to add Plum Japonais and maybe Rose Prick to my list. Enjoyed!!,Beau de Jour,0.9872
